Season,Primary Category,Secondary Category,ActivityName,Description,ActivityNumber,Ages,Location,Address,City,State,Zip,Activity Facility,Start Date,End Date,Start Time,End Time,Sessions,Days of the Week,Fee,Status,Address/Location
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 1,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who need to learn basic water adjustment skills. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 5 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",62767,At least 4 but less than 7,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Leisure Pool 1 at Germantown Indoor Swim Center,3/9/2019,4/27/2019,10:25:00 AM,10:55:00 AM,6,Sa,67,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 3,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who can already swim a combined stroke on their front and back, using a kick and arm stroke for a minimum of 5 yards. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63857,At least 4 but less than 7,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Leisure Pool 2 at Olney Swim Center,2/27/2019,4/3/2019,7:00:00 PM,7:30:00 PM,6,W,65,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Adult Swim Lessons,Adult Level 4,"Designed for teenagers and adults (14yrs and older) who can already swim a coordinated front and back crawls for 15 yards(width of the pool) and are comfortable in deep water. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 10 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",62754,14 and up,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool Lane 2 at Germantown Indoor Swim Center,5/4/2019,6/15/2019,11:45:00 AM,12:15:00 PM,6,Sa,65,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Aquatics,Adult Swim Lessons,Adult Level 1,"Designed for teenagers and adults (14 years and older). This class is designed for those students who are fearful of the water and/or may have had a bad experience in the water. Basic water adjustment skills will be taught. Please read the course descriptions carefully. Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63162,14 and up,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Leisure Pool 1 at Kennedy Shriver Aquatic Center,4/6/2019,5/18/2019,11:00:00 AM,11:30:00 AM,6,Sa,67,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 1,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who need to learn basic water adjustment skills. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 5 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",62790,At least 4 but less than 7,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Leisure Pool 1 at Germantown Indoor Swim Center,4/30/2019,5/16/2019,5:00:00 PM,5:30:00 PM,6,"T,Th",67,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Aquatics,,Homeschool Recreational Swim,"Registration must be approved before entry.  Not listed online, internal only.",63289,At least 1 but less than 99,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Leisure Pool 4 at Kennedy Shriver Aquatic Center,4/10/2019,5/22/2019,10:00:00 AM,11:30:00 AM,6,W,50,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Aquatics,Parent-Assisted Swim Lessons,Aquatots,"Designed for children 18 months - 3 years of age. Basic water adjustment skills and simple water skills are taught. Infants/children who are not toilet trained MUST wear a swim diaper and separate rubber/vinyl pants. An adult must accompany EACH student in the water. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 10 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",62758,At least 1 1/2 but less than 4,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Leisure Pool 1 at Germantown Indoor Swim Center,3/10/2019,4/28/2019,11:05:00 AM,11:35:00 AM,6,S,58,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Wellness,Yoga,Yoga/Stretching for Your Relaxation,"Practice gentle stretching and learn basic yoga postures to increase energy, flexibility, strength and balance. Class includes a focus on breathing and relaxation techniques. Those with injuries should consult a physician prior to registration. Bring a yoga mat and blanket. Students must practice with bare feet. For more information contact Nancy at yogawithnancy@gmail.com.",63371,18 and up,Mid County Community Recreation Center,2004 Queensguard Road,Silver Spring,MD,20906,Mid-County Social Hall at Mid County Community Recreation Center,4/3/2019,6/5/2019,11:00:00 AM,12:00:00 PM,9,W,108,Open,"2004 Queensguard Road
Silver Spring, MD 20906
(39.087347, -77.042882)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 2,"Designed for children at least 7 years old. This class is for students who are already water adjusted. Students must be able to submerge for 3 seconds and float on their front. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63930,At least 7 but less than 15,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Main Pool Shallow Lane 2 at Olney Swim Center,4/25/2019,6/6/2019,5:10:00 PM,5:40:00 PM,6,Th,60,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Dance,Line Dancing,Urban Line Dance,This class introduces you to the basic patterns and steps for line dancing by a certified line dancing instructor. Start with beginner-level step patterns and gradually progress to intermediate dances with slightly more complex patterns. For more information contact Peytrienne at 301-379-5937. Beginner level.,63565,17 and up,Good Hope Neighborhood Recreation Center,14715 Good Hope Road,Silver Spring,MD,20905,Good Hope Game Room at Good Hope Neighborhood Recreation Center,4/3/2019,5/29/2019,6:30:00 PM,7:30:00 PM,8,W,65,Open,"14715 Good Hope Road
Silver Spring, MD 20905
(39.096537, -76.986766)"
Spring 2019,Martial Arts,Karate/Jujitsu,Karate/Jujitsu,"Learn the physical and psychological aspects of Tang Soo Do-style Korean Karate and Jujitsu with instructors from Tompkins Karate Association. Class offers exercise, drills, lecture and competition with promotional exams available.  Beginners must attend the 6 p.m. class at Upper County, Bauer, Damascus, Resnik, Praisner and Germantown locations. Beginners may attend the later time at all other sites.",63503,At least 6 but less than 14,Potomac Community Recreation Center,11315 Falls Road,Potomac,MD,20854,Potomac Social Hall at Potomac Community Recreation Center,4/10/2019,6/12/2019,7:00:00 PM,8:00:00 PM,9,W,68,Open,"11315 Falls Road
Potomac, MD 20854
(39.041226, -77.19248)"
Spring 2019,Martial Arts,Karate/Jujitsu,Karate/Jujitsu,"Learn the physical and psychological aspects of Tang Soo Do-style Korean Karate and Jujitsu with instructors from Tompkins Karate Association. Class offers exercise, drills, lecture and competition with promotional exams available.  Beginners must attend the 6 p.m. class at Upper County, Bauer, Damascus, Resnik, Praisner and Germantown locations. Beginners may attend the later time at all other sites.",63500,At least 6 but less than 14,Potomac Community Recreation Center,11315 Falls Road,Potomac,MD,20854,Potomac Social Hall at Potomac Community Recreation Center,4/10/2019,6/12/2019,6:00:00 PM,7:00:00 PM,9,W,68,Open,"11315 Falls Road
Potomac, MD 20854
(39.041226, -77.19248)"
Spring 2019,Seniors Programs,Fitness for Seniors,55+ FREE Bone Builders Clara Barton,"Bone Builders is a FREE volunteer-led exercise program to you by the Montgomery County Department of Health and Human Services, Recreation and the RSVP volunteer program. One-hour classes held twice per week are designed to increase bone density. Participants lift ankle weights and hand weights, and participate in warm-up, cool-down and balance exercises.",64146,55 and up,Clara Barton Neighborhood Rec Center,7425 MacArthur Boulevard,Cabin John,MD,20818,Clara Barton Social Hall at Clara Barton Neighborhood Rec Center,4/1/2019,6/19/2019,2:00:00 PM,3:00:00 PM,24,"M,W",0,Open,"7425 MacArthur Boulevard
Cabin John, MD 20818
(38.972705, -77.149823)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 1,"Designed for children at least 7 years old. This class is for students who need to learn basic water adjustment skills. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63325,At least 7 but less than 14,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool Shallow Lane 1 at Kennedy Shriver Aquatic Center,4/7/2019,5/19/2019,9:40:00 AM,10:10:00 AM,6,S,60,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Sports,Basketball,10U (Age Range 9-10) Boys Youth Basketball League,This is a six week an open youth basketball league. Games are played throughout Montgomery County between 6 and 10 p.m. Games will not be played Memorial Day weekend. Team registration only.,60854,8 and up,TBD,TBD,TBD,TBD,TBD,Location unspecified,4/5/2019,5/17/2019,6:00:00 PM,10:00:00 PM,6,F,520,Open,"TBD
TBD, TBD TBD"
Spring 2019,Wellness,Yoga,Tiny Tot Yogis and Parent Yoga,"This is a 45-minute class, designed for parents and young toddlers to share yoga time. The toddlers and their parents will stretch, dance, sing and play simple yoga games.",63156,At least 2 but less than 6,Nancy H. Dacek North Potomac Community Rec Center,13850 Travilah Road,Rockville,MD,20850,N Potomac CRC Studio at Nancy H. Dacek North Potomac Community Rec Center,4/4/2019,5/23/2019,5:15:00 PM,6:00:00 PM,8,Th,145,Open,"13850 Travilah Road
Rockville, MD 20850
(39.082916, -77.232348)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 2,"Designed for children at least 7 years old. This class is for students who are already water adjusted. Students must be able to submerge for 3 seconds and float on their front. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",64143,At least 7 but less than 15,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Main Pool Shallow Lane 1 at Olney Swim Center,4/24/2019,6/5/2019,5:40:00 PM,6:10:00 PM,6,W,60,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 2,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who are already water adjusted. Students must be able to submerge for 3 seconds and float on their front and back without support. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63817,At least 4 but less than 7,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Leisure Pool 2 at Olney Swim Center,2/23/2019,4/6/2019,9:10:00 AM,9:40:00 AM,6,Sa,65,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Wellness,Yoga,Gentle Yoga,"This class combines warmups, gentle postures and yogic breathing to improve mobility and reduce stress. You will learn the basic principles of body alignment and breath awareness inspired by a meaningful intention and a joyful attitude. The instructor encourages students to listen to their bodies and progress at their own pace. Bring a yoga mat and blanket and wear comfortable clothing. Students must practice with bare feet. For more information contact Irene at Irene54@aol.com. Beginner and continuing levels.",63125,18 and up,Bauer Drive Community Recreation Center,14625 Bauer Drive,Rockville,MD,20853,Bauer Community Room at Bauer Drive Community Recreation Center,4/9/2019,6/4/2019,6:15:00 PM,7:15:00 PM,8,T,84,Open,"14625 Bauer Drive
Rockville, MD 20853
(39.095357, -77.109505)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 2,"Designed for children at least 7 years old. This class is for students who are already water adjusted. Students must be able to submerge for 3 seconds and float on their front. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63332,At least 7 but less than 14,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool Shallow Lane 1 at Kennedy Shriver Aquatic Center,4/7/2019,5/19/2019,11:40:00 AM,12:10:00 PM,6,S,60,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 2,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who are already water adjusted.  Students must be able to submerge for 3 seconds and float on their front and back without support.  Please read the course  descriptions carefully. Select the course  level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the  student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate  their needs. THERE ARE NO MAKE-UPS OR  REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class  size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool  if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63628,At least 4 but less than 7,Martin Luther King Jr. Swim Center,1201 Jackson Road,Silver Spring,MD,20904,MLK Leisure Pool 3 at Martin Luther King Jr. Swim Center,3/2/2019,4/13/2019,12:20:00 PM,12:50:00 PM,6,Sa,65,Open,"1201 Jackson Road
Silver Spring, MD 20904
(39.055072, -76.982795)"
Spring 2019,Aquatics,Parent-Assisted Swim Lessons,Pre-School,"Designed for children 3-5 years of age. Basic water adjustment continues, but simple water skills are now emphasized. Infants/children who are not toilet trained MUST wear a swim diaper and separate rubber/vinyl pants. An adult must accompany EACH student in the water. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 10 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63892,At least 3 but less than 6,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Leisure Pool 3 at Olney Swim Center,4/25/2019,6/6/2019,5:50:00 PM,6:20:00 PM,6,Th,58,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Fitness,Strength Training,Fitness Kickboxing,"Are you looking for a fast-paced, kick-butt, calorie-burning, adrenaline-pumping, action-packed workout? This class combines high-energy music with the kicks, punches and strikes of kickboxing for the ultimate conditioning workout. You'll improve muscular definition, cardiovascular fitness, flexibility and the ability to protect yourself. Fee includes a free pair of boxing gloves. For more information contact Kicks Karate at Lbussard@kickskarate.com",63419,13 and up,Kicks Karate North Bethesda,"10400 Old Georgetown Road, Suite 3A",Bethesda,MD,20814,Kicks Karate - North Bethesda at Kicks Karate North Bethesda,4/6/2019,5/11/2019,8:00:00 AM,8:50:00 AM,5,Sa,79,Open,"10400 Old Georgetown Road, Suite 3A
Bethesda, MD 20814
(39.025879, -77.126068)"
